Мемлекет басшысы Өзбекстан Президенті Шавкат Мирзиёевпен телефон арқылы сөйлесті	Telephone conversation with President of Uzbekistan Shavkat Mirziyoyev
Жаңа әліпби бірлікті нығайта түсуі керек – А.Мұхтарханов	New Kazakh alphabet should facilitate to further strengthening of unity – A.Mukhtarkhanov
АХҚО іске қосылғаннан кейін қандай өзгерістер орын алады – сарапшы	What will change after launch of IFCA – expert
Беларусьте қазақстандық инвестициялардың қатысуымен 100-ден астам кәсіпорын жұмыс істейді	Up to 100 enterprises with Kazakhstan investments operate in Belarus
АХҚО биржасы NASDAQ және Шанхай қор биржасымен ынтымақтастық жасайды	IFCA Exchange to cooperate with SSE and NASDAQ
Сианда Қазақстанды зерттеу орталығы ашылды	Center for study of Kazakhstan opened in Xi’an
Қазақстанда спортпен шұғылдану үшін барлық жағдай жасалған– ҚР Президенті	There are all conditions to do sport in Kazakhstan – President of RK
Бәріміз Қазақстанның игілігі үшін жұмыс істеуге тиіспіз – Н.Назарбаев	We have to work to benefit Kazakhstan – Nazarbayev
Н.Назарбаев Алматы халықаралық әуежайының даму жоспарымен танысты	N.Nazarbayev familiarized with further development plan of airport in Almaty
Б.Сапарбаев Болгарияның Қазақстандағы елшісімен кездесті	B.Saparbayev met with Ambassador of Bulgaria to Kazakhstan
Қазақстан мен Франция бірлескен зауытты іске қосты	Kazakhstan and France launched joint plant
Мәжілістің пленарлы отырысының күнтәртібі нақтыланды	Draft agenda of upcoming plenary session of Mazhilis formed
Қазақстан Нигермен дипломатиялық қарым-қатынас орнатты	Kazakhstan established diplomatic relations with Niger
Қазақстанда әлеуметтік қызмет көрсету саласын жаңғырту басталды – Г.Әбдіқалықова	Modernization of social service system has started in Kazakhstan – G.Abdykalikova
ҚР-ның энергетика саласына енгізу үшін «ЭКСПО-2017» жүзден астам технологиясы іріктеліп алынды	Up to 100 technologies of EXPO to be introduced in energy sector of RK
Латын әліпбиіне көшуді созудың қажеті жоқ – Ғ.Байтөк (ВИДЕО)	Transition to Latin should be dragged on for long time – G.Baytuk (VIDEO)
Президент Сұлтановқа тапсырма берді	President gave several instructions to Sultanov on further development of the capital
Жамбылдық делегация Еуразиялық экономикалық форумға қатысты	Zhambyl delegation participated in Eurasian economic forum
Латын әліпбиіне көшу қазақ мәдениетінің қайнар көзін сақтап қалады - Е.Саиров (ВИДЕО)	Transition to Latin to preserve Kazakh culture origins – Y.Saipov (VIDEO)
«Стратегия» пікірталас клубында Орталық Азия елдерінің ынтымақтастығы талқыланады	Cooperation of Central Asian countries to be discussed at Discussion club “Strategy”
Маған туған тілімді жаңадан үйренетінім ұнайды – Д.Сатжан (ВИДЕО)	I like that I will learn my language in new way – D.Satzhan (VIDEO)
Астанада діни экстремизм мен терроризмді алдын алу мəселелері талқыланды	Prevention matters of religious extremism and terrorism were discussed in Astana
Атырау облысының жұртшылығы латын әліпбиіне көшуді қолдайды	People of Atyrau rgn support transition to Latin
Ә. Исекешев Smart Astana бағдарламасын іске асыру бойынша бірқатар кездесулер өткізді	A.Issekeshev held meetings on implementation of Smart Astana program
ЭКСПО-2017 қаладағы өмір сүру сапасын арттыруға мүмкіндік береді - ЮНИСЕФ (ВИДЕО)	EXPO-2017 to increase quality of life in urban environment – UNICEF (VIDEO)
Алматы республикалық бюджеттің доноры – Н.Назарбаев	Almaty was formed as largest economic center – N.Nazarbayev
Н.Назарбаевқа ҚР Тұңғыш Президенті қорының жұмысы туралы есеп берілді	N.Nazarbayev was reported on work of Fund of First President of Kazakhstan
Астананың коммуналдық шаруашылық басқармасы ЭКСПО-2017 өткізу қорытындысы туралы хабарлады	Department of Communal Services of Astana told about works carried out at EXPO-2017
Қазақстан әлеуметтік қамсыздандыру жүйесін жетілдіруге мүдделі	Kazakhstan shows interest in conduction of joint work on improving social security system
Сенаторлар кедендік рәсімдеу орталығының жұмысын тексерді	Senators appreciated work of customs registration center
Өңдеу секторының бәсекеге қабілеттілігі артты – ҚР ИДМ	Competitiveness of manufacturing sector increases – MID RK
Өңдеу өнеркәсібі өнімдерінің экспорты 28%-ға артты	Export volume of manufacturing products increased by 28%
Жамбыл облысы ауыл шаруашылығы саласында қытайлық компаниямен ынтымақтастық орнатты	Zhambyl rgn established cooperation with Chinese company in agriculture sphere
Оңтүстік қазақстандық мақта талшығы Чехия мен Үндістан еліне экспортталады	South Kazakhstan cotton fiber exported to Czechia and India
Б. Сағынтаев экономика мәселелері жөніндегі Сараптама кеңесінің кезекті отырысын өткізді	B.Sagintayev held regular session of Expert council for economic affairs
Астанада шағын және орта бизнес субъектілерінің саны көбейді	Number of small- and medium-sized business entities increased in Astana
Мықты саяси орталықтың және ірі мегаполистің болуы – көптеген дамыған мемлекеттерге тән	The presence in a country of a strong political center and a large metropolis is typical for many developed countries
Қазақстан ядролық қауіпсіздік жөніндегі жаһандық саммитін жаңарту үдерісін бастауға дайын	Kazakhstan is ready to initiate renewal process of global summit on nuclear security
Норвегияға автомобильмен жүк тасымалдау 53%-ға артты	Road transport to Norway increased by 53%
ЭКСПО көрмесін өткізу барысында 300 млн теңгенің кəдесыйлары сатылды	Souvenirs accounting to 300mln tenge sold during EXPO
Қазақстан шамамен 1200 автомобильді экспорттады	Kazakhstan exported about 1200 cars
EROPA Азиялық көшбасшылар форумында мемлекеттік басқарудағы инновациялар талқыланды	Innovations in state administration were discussed at Asian Leaders’ Forum EROPA
ҚР Премьер-Министрі Франция елшісімен және Nokia өкілімен кездесті	Prime-Minister met with Ambassador of France and representative of Nokia
Қазақстан Беларусияның ДСҰ-ға енуін қолдайды – Ж.Айтжанова	Kazakhstan supports Belarus’s accession to WTO - Zh. Aitzhanova
ҚР Президенті Алматы облысындағы әлеуметтік нысандардың құрылысымен танысты	President of Kazakhstan familiarized with process of building of social establishments in Almaty rgn
Елбасы «Батыр бабалар» мемориалдық кешенінде болды	Head of State visited “Batyr babalar” memorial complex
Д.Абаев БАҚ жауапкершілігі бойынша түзетулерді түсіндірді (ВИДЕО)	D.Abayev explained amendment to media responsibility (VIDEO)
Н.Назарбаев Алматы қаласындағы алаң мен қайта жөнделген көшелерді аралап көрді	N.Nazarbayev walked through reconstructed streets and squares in Almaty
Н.Назарбаев Алматыда «Туған жер» аясында салынған емханада болды	N.Nazarbayev visited polyclinic built within "Tugan zher" in Almaty
Алматы тұрғындары санының артуы қала аумағын ұлғайтуды қажет етеді – Н.Назарбаев	Increase of population of Almaty requires expansion of city’s area – N.Nazarbayev
Астанада 5 мыңнан аса жұмыс орны құрылды	Up to 5k workplaces created in Astana
Сенат комитеті Қазақстан мен Сербия келісімін ратификациялау туралы заң жобасын қарады	Senate Committee considered draft laws on ratification of Kazakh-Serbian agreements
Қ.Келімбетов АХҚО-ның жоспарымен бөлісті	K.Kelimbetov talked about plans of IFCA
Н.Нығматулин Парламент палаталарының бірлескен отырысын шақыру туралы Өкімге қол қойды	Both chambers of Kazakh Parliament to hold joint meeting
Қасым-Жомарт Тоқаевтың ауқымды міндеттерді табысты шешетін мол тәжірибесі бар – Д.Медведев	Background of Kassym-Jomart Tokayev will contribute to successful problem solving - Medvedev
Мәжіліс Халықаралық автомобиль қатынасы туралы келісімді ратификациялады	Mazhilis ratified amendments to Agreement on international road transport agreement
ЕАЭО елдерінің кемелері ішкі су ресурстарына кіруге рұқсат алады	Ships of EAEU countries to have free access to inland waterways
Сенаторлар Жаяу әскерлер институтында және Шекара қызметінің академиясында болды	Senators visited Military Institute of Landed Forces of Armed Forces of Kazakhstan
Б.Сағынтаев ХВҚ өкілдерімен кездесу өткізді	B.Sagintayev met with representatives of IMF
Қазақстан халқының саны 1,32%-ға артты	Population of Kazakhstan increased by 1,32%
Сенаторлар Атырау облысындағы АЭА жұмысымен танысты	Senators familiarized with work of SEZ in Atyrau rgn
Қостанай облысының ЕАЭО елдерімен сауда айналымы 41%-ға артты	Trade of Kostanay rgn with EAEU member-states increased by 41%
Қазақстан БҰҰ реформасын қолдады	Kazakhstan supported UN reforms
«Жастарға инвестиция» конференциясы Астанада өтеді	First conference “Investments in youth” to be held in Astana
Мемлекеттік хатшы: Қазақстан мен Жапонияның БҰҰ Қауіпсіздік Кеңесінің қызметіне атсалысуы - серіктестік қатынастарды дамыту үшін қосымша мүмкіндік	Secretary of State: Participation of Kazakhstan and Japan in UN Security Council – possibility to develop partnership relations
Министрлік 2017 жылғы бюджетті шамамен 280 млрд теңгеге қысқартуға ұсынды	Ministers proposed to reduce budget for 2017 by 280mln tenge
Мемлекеттік бюджетке 8 айдың қорытындысы бойынша 4,5 млрд теңге түсті	State budget received 4.5bln tenge in 8 months
Қазақстанның негізгі капиталына инвестиция көлемі 4,8 трлн теңгеден асып жығылды	Investments in fixed capital of Kazakhstan exceeded 4.8tn tenge
Қазақстанның экономикалық өсімінің жылдамдығы 4,3%-ға артты	Economic growth of Kazakhstan accelerated to 4.3%
Жамбыл облысында қуатты химия класстерін дамыту бойынша жұмыстар жүргізілуде	Work on creation powerful chemical cluster held in Zhambyl rgn
Н.Назарбаевтың бастамалары БҰҰ Бас Ассамблеясының 72-сессиясында ұсынылады	N.Nazarbayev's initiatives to be presented at 72nd session of UN General Assembly
Қазақстан стандарттар саны бойынша дамыған елдердің деңгейіне жақындады – ҚР ИДМ	Kazakhstan approached level of developed countries in number of standards– MID RK
Депутаттар діни қызметтің азаматтық қоғаммен өзара іс-қимыл ұсынымдарын жасақтады	Deputies developed recommendations of interaction of religious work with civil society
ЕАЭО мемлекеттерінің сүректен жасалған өнімінің экспорты 5%-ға артты	Export of wood products from EAEU states increased by 5%
Астана мен Токионы ядролық қарусыздану ісінде ортақ ұстанымдар байланыстырады - Н.Нығматулин	Astana and Tokyo bound by common approaches to nuclear disarmament – N.Nigmatulin
Мемлекет басшысы Қазақстанның теннистен ерлер құрамасын құттықтады	Head of State congratulated male team of Kazakhstan in tennis
Тегін аудиогидтерді 12 мыңңан астам туристер пайдаланды	12k tourists used free-of-charge audio-guides in Capital
ҚР Президенті көлікке арналған жаңа көпір құрылысын тексерді	President of Kazakhstan tested quality of new transport bridge in Taraz
Мемлекет басшысы Таразда гипс жасау технологиясымен танысты	Head of State familiarized with gypsum production technique in Taraz
Елбасы «Көне Тараз» тарихи-мәдени орталығындағы Достық үйіне барды	President of Kazakhstan visited House of Friendship in Taraz
АДБ Қазақстанға 3 млрд доллардан астам қаржы бөледі	ADB to allocate up to 3bln dollars to Kazakhstan
Шымкентте халықаралық деңгейде теннис корты пайда болады	Tennis court of international level to appear in Shymkent
Астанада «Жапонияның 100 заманауи дизайны» көрмесі өтуде	“Modern Japanese design - 100” exhibition is held in Astana
А.Балаева: «Рухани жаңғыру» – бұл құндылықтарды басқарудың ауқымды үдерісі	A.Balayeva: “Rukhani zhangyru” – large-scale process of value management
Шымкентте бірегей бокс орталығы ашылады	Shymkent to open unique boxing center
Қ.Ақсақалов: Латын әліпбиіне көшу бәсекеге қабілеттілікті арттыруға бағытталған	K.Aksakalov: Transition to Latin script focuses on increase of competitiveness
Қазақстан Өзбекстандағы көрмеде eGov жобаларын ұсынды	Kazakhstan presented eGov projects at exhibition in Uzbekistan
ОҚО-да инвесторлар күн электр стансасын салады	Chinese investors plan to build solar power plant in S.Kazakhstan
Мемлекет басшысы жұмыс сапарымен Түрікменстанға келді	Head of State arrived in Turkmenistan with working visit
Қазақстан мен Өзбекстан арасында экономиканың барлық саласы бойынша айтарлықтай ілгерілеушілік байқалуда	Considerable breakthrough in all spheres of economy marked between Kazakhstan and Uzbekistan
Дрондар шалғайдағы ауылдарға мерзімді басылымдарды жеткізетін болады - Қазпошта	Drones to deliver mail in remote villages – Kazpost
Депутаттар жалпы қалалық сенбілікке шықты(ФОТО)	Deputies participated in city cleaning day (PHOTO)
Н.Назарбаев пен Ш.Мирзиёёв қазақстандық компаниялардың көрмесіне қатысты	N.Nazarbayev and Sh.Mirziyoyev visited exhibition of Kazakhstani companies
Қазақстан мен Өзбекстан басшылары бауырлас елдер арасындағы өзара қарым-қатынастың жаңа кезеңі басталғанын мәлімдеді	Heads of Kazakhstan and Uzbekistan talked about new stage of cooperation between countries
«Мерейлі отбасы» байқауының жеңімпаздары сыйлыққа микроавтобус алды	Winners of “Mereili otbasy” contest were gifted with minibus
Оңтүстік Қазақстанда битум өндірісі бойынша зауыт жаңғыртылуда	Plant on bitumen production being modernized in S.Kazakhstan
Қазақстан Президенті Ташкентке келді	President of Kazakhstan arrived in Tashkent
Б. Сағынтаев Атырау облысындағы тұрғын үй құрылысының сапасын тексерді	B.Saginatyev inspected quality of house construction in Atyrau rgn
Ертіс аграрийлері егін алқабын арттырады	Agrarians of Irtysh district to increase area of grain sowing
Қазақстандық өндірушілер шетелдік нарықтарды бағындыруда (ВИДЕО)	How Kazakhstan products conquer foreign markets (VIDEO)
АЭА алаңдары 11 мың адамды жұмыспен қамтыды	11k people work at SEZ sites
А.Перуашев: Латын әліпбиіне көшу - рухани отарсызданудың тура жолы	A.Peruashev: Transition to Latin to play significant role in development of Kazakhs
Үкімет басшысы Атырау облысындағы балық өсіру кәсіпорындарын жаңғырту перспективаларын бағалады	Head of Government appraised modernization perspectives of fish enterprises
Бақытжан Сағынтаев Атырау облысында бизнесті дамыту үшін аса перспективалы бағыттарды белгіледі	B.Sagintayev defined perspective directions for business in Atyrau rgn
ОҚО-да екінші бес жылдық аясында Индустрияландыру картасы аясында 47 жоба жүзеге асырылды	47 projects implemented within second five-year plan of Industrialization map in S.Kazakhstan
Алматы облысы мен Сычуань провинциясы ынтымақтастық туралы меморандумға қол қойды	Almaty rgn and Sichuan province signed coop memo
СҚО-да Мәжілістің Аграрлық мәселелер комитетінің көшпелі отырысы өтеді	Visiting session of Committee of Mazhilis for agricultural affairs to be held in NK
ҚР Үкіметі мұнай секторын цифрландыру жоспарын жүзеге асыруда	Government of RK implements plans on digitalization of oil sector
Мәртебелі болашақ туралы армандай отырып, мерейлі өткенімізді де жадымызда сақтағанымыз жөн - Н. Назарбаев	Dreaming of the worthy future, let's remember the worthy past - N.Nazarbayev
Қостанай облысында инвестициялар көлемі өскен	Volume of investments in Kostanay region increased
«Нұрлы Жол» вокзалында электромобильді қуаттандыру станциясы ашылды	Charging station installed at “Nurly zhol” station
Латын әліпбиі жастарға ағылшын тілін үйренуге көмектеседі - ақмолалықтар	Latin script to help young people learn English
Қазақстанда тегін кәсіптік-техникалық білім жобасы жүзеге асырылуда	Kazakhstan implements project of free vocational education
Б.Сағынтаев жұмыс сапарымен Атырау облысына барды	B.Sagintayev arrived in Atyrau rgn
Ruh.kz порталы әлеуметтік жобаларды жүзеге асыратын ең үлкен алаң болады	Portal ruh.kz to become largest platform for implementation of social projects
Австралиялық компания СҚО-да геологиялық барлауды бастады	Australian company began geological prospecting in N Kazakhstan rgn
Қазақстандықтар жаңа қазақ әліпбиіне өзгерістер енгізе алады	Kazakhstanis to be able to make changes to new Kazakh alphabet
"Стратегия" пікірталас клубының сарапшылары қазақ тілінің латын әліпбиіне көшуін талқылайды	Experts of Discussion club “Strategy” to discuss transition of Kazakh language to Latin script
«Рухани жаңғыру» ақпараттық порталы өз жұмысын бастады	Information portal “Rukhani zhangyru” began its work
«100 жаңа есім» бойынша өтініш қабылдау аяқталуда	Acceptance of applications for "100 new persons" is coming to the end
BI Group Construction Шымкентте бірқатар ірі жобаларды іске асырмақ	BI Group Construction to build a number of large projects in Shymkent
Қарағандыда Грузияның Құрметті консулдығы ашылды	Honorary Consulate of Georgia opened in Karaganda
"Аралтұз" АҚ Әзербайжанға тұз экспорттауды бастады	"Araltuz" exports salt to Azerbaijan
Астанада үздік деп танылған 20 әлеуметтік жоба таныстырылады	20 social projects to be presented in Astana
Қазақстанда ерте жастағы балалардың денсаулығының, тамақтануының жақсарғаны байқалуда	Health and nutrition improvement of young children marked in Kazakhstan
Астана хостелдері көрме кезінде 22 мыңға жуық қонақты қабылдады	Capital hostels accepted 22K tourists in summer
Kazakh Invest China-ASEAN Expo XIV көрмесінің ұйымдастырушыларынан екі премия алды	Kazakh Invest received two prizes from organizers of XIVth exhibition China-ASEAN Expo
Әліпби реформасы Қазақстанның жаһандық бәсекеге қабілеттілігін арттырады	Alphabet’s reform to increase global competitiveness of Kazakhstan
Б.Сағынтаев Astana Hub жобасын жүзеге асыру бойынша кеңес өткізді	B.Sagintayev held meeting on implementation of Astana Hub project
Б.Сағынтаев BitFury басшысы Валерий Вавиловпен кездесті	B.Sagintayev met with Valery Vavilov Head of BitFury
ШҚО әкімі ГФР-дың Қазақстандағы Төтенше және Өкілетті Елшісімен кездесті	Governor of E Kazakhstan rgn met with Ambassador Extraordinary and Plenipotentiary of Germany
Астананың бюджетіне түсім бірнеше есе артты – Н.Назарбаев	Revenues to budget of Astana increased by considerably - N.Nazarbayev
АШМ субсидиялауды толық автоматтандыруға көшуде	Ministry of Agriculture moves to full automation of subsidies
Халықаралық жетекші сарапшылар Қазақстанның цифрлық бағдарламаға ұмтылысын жоғары бағалады	Leading experts highly appraised aspiration of Kazakhstan to digital transformation
Жыл аяғына дейін атыраулық 677 отбасы қоныс тойын тойлайды	677 families to get flats by end of year in Atyrau
ЮНИДО ЭКСПО-2017 көрмесіне алғысын білдірді(ВИДЕО)	UNIDO expressed gratitude to EXPO-2017 (VIDEO)
Ақтөбе облысында ауылдық кәсіпкерлердің 480 жобасына несие берілді	480 projects of rural entrepreneurs credited in Aktobe rgn
Мемлекет басшысы: Азаматтарымыздың болашаққа деген сенімін арттыру керек	Kazakh President: The main goal is to increase the wellbeing of our citizens
ҚР ОСК Сенат депутаттарын тіркеді	CEC of RK registered Senate Deputies
Б. Сағынтаев халықаралық сарапшылармен "Цифрлық Қазақстан" бағдарламасының бағыттарын талқылады	B.Sagintayev discussed directions of “Digital Kazakhstan” program with international experts
Ресей Қазақстанға цифрлық экономикаға бірлесіп көшуді ұсынып отыр	Russia proposed Kazakhstan to jointly transit to digital economy
Мәскеу Үкіметінің делегациясы Астанаға келеді	Delegation of Moscow Government to arrive in Astana
ҚР Премьер-Министрі бірқатар кездесулер өткізді	Prime-Minister of Kazakhstan held several meetings
ШҚО жұртшылығы қазақ тілінің латын әліпбиіне көшуін қолдайды	Public of EK supports transition of Kazakh to Latin graphics
Елбасы бірқатар тағайындаулар жүргізді	Head of State held several appointments
ЕЭК Монғолияның ветеринариялық қызметімен ынтымақтастық туралы меморандумға қол қояды	EEC to sign memorandum on cooperation with veterinary service of Mongolia
Н.Назарбаев отандық және шетелдік БАҚ өкілдері үшін баспасөз конференциясын өткізеді	N.Nazarbayev to speak for reps of domestic and foreign media
Мемлекет басшысы «Hyperloop One» компаниясының басшылығымен цифрлық экономиканы дамыту мәселелерін талқылады	President discussed development of digital economy with management of “Hyperloop One” Company
Н.Назарбаев қыркүйекте Өзбекстан мен Түркменстанға барады	N.Nazarbayev to visit Uzbekistan and Turkmenistan in September
ТМД министрлерінің кеңесі 2018 жылдың жұмыс жоспарының жобасын бекітті	Defense Ministers Council of CIS submitted project of work’s plan for 2018
Латын әліпбиіне көшу ұлтты біріктіреді - П. Казанцев	Transition to Latin to unify the nation – P.Kazantsev
Демократиялық күштердің жалпыұлттық коалициясы латын әліпбиіне көшу бастамасына қолдау білдірді	National Coalition of Democratic forces of Kazakhstan supported transition to Latin
ЕО Қазақстанмен қарым-қатынастың жаңа стратегиясын әзірлеуде	EU designs new strategy of relations with Kazakhstan
Цифрландыру бәсекеге қабілеттілікті арттыру үшін қажет - Н. Назарбаев	Digitization is important to increase competitiveness – N.Nazarbayev
Литваның кәсіпкерлері қазақстандық бизнестің ерекшеліктерін зерттеуде	Features of Kazakh business studied by entrepreneurs from Lithuania
Жопания Алматыда бастапқы кезеңде қатерлі ісікті анықтау бойынша диагностикалық орталық ашады	Japan plans to open diagnostic center for detection of cancer at early stage in Almaty
Индонезия Қазақстанның астананы көшіруге қатысты тәжірибесіне қызығушылық танытуда	Indonesia showed commitment in Kazakhstan’s experience in relocation of capital
Қазақстанда ауыл шаруашылығы жерлерін беру тәртібі бекітілді	Kazakhstan established procedure for providing agricultural land
Астананың қоғам қайраткерлері Елбасының бастамасын қолдауға шақырды	Capital’s active society accepted address on transition to Latin alphabet
ОҚО-да түркиялық инвесторлар бірлескен жаңа екі жобаны іске асыруда	Turkish investors implement two joint projects in S.Kazakhstan
ОҚО-да Жергілікті полицияға 143 қызметтік автокөлік табысталды (ФОТО)	143 official cars given to policemen of SK (PHOTO)
Бізді қазақстандықтардың Швейцариядағы энергияның тұрақты көздеріне деген қызығушылығы таңғалдырды – павильон комиссары (ВИДЕО)	We impressed by enthusiasm of Kazakhstanis to know about sustainable sources of energy in Switzerland – Pavilion’s Commissioner (VIDEO)
Мәжілісте бюджеттің үкіметтік жобасы таныстырылды	Budget’s governmental project presented in Mazhilis
Е. Қошанов Қарағанды облысында экотуризмнің дамуымен танысты	Y.Koshanov familiarized with development of ecotourism in Karaganda rgn
Иорданиялық компания фармацевтикалық препараттар шығаратын зауыт салады	Jordanian company to build plant on production of pharmaceuticals
"Қазконтент" АҚ жаңа интернет-маусыммен таныстырды	JSC “Qazcontent” presented new internet-season
Қазақстан және Қытай көлік саласындағы өзара іс-қимылды жетілдіруде	Kazakhstan, China scale up cooperation in transport sphere
ҚР Президентіне Юрий Пя Хирургтар конгресінің қорытындысы туралы жеткізді	Yury Pya reported to President on results of Congress of Surgeons
Елбасы Украина Президентімен сөйлесті	Leader of the Nation talked with Ukrainian President on the phone
Н.Назарбаев «The St.Regis Astana» қонақ үйінде болды	N.Nazarbayev visited “The St.Regis Astana” hotel
Киммо Тииликайнен: Қазақстанға келгеніме өте қуаныштымын (СҰХБАТ, ВИДЕО)	Kimmo Tiilikainen: I was very pleased to visit Kazakhstan (INTERVIEW, VIDEO)
Қазақстанда салықтық әкімшіліктендіру бойынша жаңа әдіс енгізіледі	New approach to tax administration to be introduced in Kazakhstan
Салық жаңашылдықтарын қабылдаған соң салық даулары азаяды - Т. Сүлейменов	Tax disputes to decrease after accepting tax innovations – T.Suleimenov
Қазақстан мен Сауд Арабиясының энергетика министрлері әлемдік мұнай нарығындағы жағдайды талқылады	Ministers of energy of Kazakhstan and Saudi Arabia discussed situation in world oil market
Оңтүстік Қазақстанда 53 мыңнан астам жаңа жұмыс орны ашылды	Up to 53k new workplaces created in S.Kazakhstan
Хироши Танака: Қазақстан – жер бетіндегі соңғы жұмақ	Hiroshi Tanaka: Kazakhstan is the last paradise on Earth
Қазақстанда өнеркәсіптік өндіріс индексі 108,5% құрады	Index of industrial production amounted to 108.5%
А.Мамин Қытайдағы бірінші өңіраралық ынтымақтастық форумына қатысты	A.Mamin participated in forum of interregional cooperation in China
Босния және Герцеговина екіжақты қатынасты нығайтуға мүдделі	Bosnia and Herzegovina interested in further strengthening of bilateral relations
Қарағанды облысында жолдарды орташа жөндеу жұмысы 20 қыркүйекке дейін аяқталмақ	Karaganda rgn: Average repair of roads to be completed by September 20
Қазақстанда машина жасау саласында өсім байқалады	Growth is seen in machine-building sector in Kazakhstan
Біз жер бетіндегі барша адамдардың энергияға қолжетімділігін қамтамасыз етуіміз керек – БҰҰ (ВИДЕО)	We must provide access to energy for all people on planet - UN (VIDEO)
Сенат ағымдағы сессияға арналған заң шығару жұмысының міндеттерін айқындады	Senate defined tasks of legislative work for present session
Қазақстан және Индонезия парламентаралық диалогты нығайту перспективаларын талқылады	Kazakhstan and Indonesia discussed perspectives of strengthening of interparliamentary dialogue
Б. Сағынтаев БАӘ ПМК басшысы М. Әл-Гаргавимен кездесу өткізді	B.Sagintayev met with Head of OPM of UAE M. Al Gergawi
Польшалық инвесторларға Павлодарда картоп пен қызылша өндіру ұсынылды	Polish investors proposed to process potatoes and beets in Pavlodar
Қызылорда облысына 11 елден инвесторлар тартылады	Investors from 11 countries to be attracted to Kyzylorda rgn
ҚР ЕХӘҚМ әлеуметтік қызмет көрсету жүйесін дамытудың жаңа тұжырымдамасын әзірледі	Ministry of Labor and Social Protection developed new concept for development of social service system
Латын жазуына көшу қарқынды түрде жүзеге асырылады - Н. Нығматулин	Transition to Latin alphabet to be conducted dynamically – N.Nigmatulin
Астана қаласының әкімдігінде елорданың 20 жылдығына дайындық жұмыстары талқыланды	Preparation for capital’s 20th anniversary discussed in Mayor’s Office of Astana
Қазақстан мен Нидерланд арасындағы дипломатиялық қарым-қатынастардың орнауына 25 жыл толуда	25 years passed since establishment of diplomatic relations between Kazakhstan and the Netherlands
Қазақстан және Франция ғарыш саласындағы өзара іс-қимыл перспективаларын талқылады	Kazakhstan and France discussed perspectives of interaction in space field
ШҚО-да өңірдегі жаңғыру бағдарламасын іске асыру барысы талқыланды	Implementation of modernization program in region was discussed in EK
Қазақстанда Әлеуметтік қызметкерлердің бірыңғай дерекқоры әзірленеді	Kazakhstan to create single base of social workers
ОҚО-да жылына 200 млн таблетка шығаратын жаңа цех іске қосылды	New shop for production of 200 mln tablets launched in S Kazakhstan rgn
Ақтөбеде «Нұрлы жер» бағдарламасы бойынша алғашқы үй тапсырылды	Aktobe commissioned first house for 54 apartments under "Nurly Zher"
ЭКСПО-2017 көрмесінің соңғы күні қалай өтті	What’s like last day of EXPO-2017
Қазақстан және Гвинея ынтымақтастық пен парламентаралық байланыстарды нығайту мәселелерін талқылады	Kazakhstan and Guinea discussed matters of cooperation of interparliamentary relations
ҚР Президенті: Біздің көрме таза энергетиканың жаһандық дамуына бірегей үлес қосты	President of Kazakhstan: Our exhibition made unique contribution to global development of clean energy
Нұрсұлтан Назарбаев ЭКСПО-2017 көрмесінің жабылуын жариялады	Nursultan Nazarbayev announced closure of EXPO-2017
Н. Назарбаев Гвинея-Бисау Республикасының Президентімен кездесті	N.Nazarbayev held meeting with President of Guinea-Bissau
Н. Назарбаев Венесуэла Президенті Николас Мадуромен кездесті	N.Nazarbayev met with President of Venezuela Nicolas Maduro
ИЫҰ саммитінде Астана декларациясына қол қойылды	Astana Declaration signed at OIC Summit
ҚР Президенті ИЫҰ ғылым және технологиялар жөніндегі саммиті аясында бірқатар кездесулер өткізді	President of Kazakhstan held number of meetings on sidelines of OIC Summit on Science and Technology
Ислам даму банкімен ынтымақтастығымыз жыл сайын нығая түсуде - Н. Назарбаев	Cooperation with Islamic Development Bank gets stronger from year to year - N.Nazarbayev
Еліміз ислам мен батыс өркениеттері арасындағы достық диалогқа дәнекер болып отыр	We have become a link in a friendly dialogue between Islamic and Western civilizations
Н. Назарбаев ислам әлемі елдерінде бейбітшілік пен тұрақтылықты сақтауға шақырды	Nazarbayev called for maintenance of peace and stability in countries of Islamic world
Қазақстанның ислам әлеміндегі беделі зор - ИЫҰ Бас хатшысы	Kazakhstan in Islamic world has great authority - OIC Secretary General
Қазақстанның Пәкістанмен тауар айналымының көлемі 2016 жылы 25,5 млн долларды құрады	Volume of commodity turnover btwn Kazakhstan and Pakistan amounted to $25.5 mln in 2016
Р. Эрдоған: Біздің ынтымақтастығымыз алдағы уақытта да нығая түсетініне сенімдімін	R.Erdogan: Our cooperation to continue to be strengthened
ҚР Премьер-Министрі Б. Сағынтаев бірқатар кездесулер өткізді	Kazakh PM B.Sagintayev held several meetings
Астанада қаланы дамыту көрсеткіштерінің өсімі байқалуда	Astana has increase in indicators of city's development
Б. Сағынтаев Түркияның бизнес құрылымдарының басшыларымен кездесті	B.Sagintayev met with heads of business structures of Turkey
Түрік холдингтері Қазақстанға 590 млн доллар инвестициялауға ниетті	Turkish holdings intend to invest $590 mln in Kazakhstan
Н. Назарбаев Түркия Президентімен кездесті	N.Nazarbayev met with President of Turkey
2018 жылғы 1 шілдеден бастап базалық зейнетақы еңбек өтіліне байланысты есептеледі	From July 1, 2018 basic pension to depend on length of service
